X,Y,probability
604500,4437500,0
604500,4438000,0
604500,4438500,0
604500,4439000,0
604500,4439500,0
604500,4440000,0
604500,4440500,0
604500,4441000,0
604500,4441500,0
604500,4442000,0
604500,4442500,0
605000,4413000,0
605000,4413500,0
605000,4414000,0
605000,4414500,0
605000,4415000,0
605000,4415500,0
605000,4416000,0
605000,4416500,0
605000,4417000,0
605000,4417500,0
605000,4418000,0
605000,4418500,0
605000,4419000,0.9
605000,4419500,0.9
605000,4420000,0.9
605000,4420500,0.9
605000,4421000,0.9
605000,4421500,0.9
605000,4422000,0.9
605000,4422500,0.9
605000,4423000,0.9
605000,4423500,0.9
605000,4424000,0.9
605000,4424500,0.9
605000,4425000,0.9
605000,4425500,0.9
605000,4426000,0.9
605000,4426500,0.9
605000,4427000,0.9
605000,4427500,0.9
605000,4428000,0.9
605000,4428500,0.9
605000,4429000,0.9
605000,4429500,0.9
605000,4430000,0.9
605000,4430500,0.9
605000,4431000,0.9
605000,4431500,0.9
605000,4432000,0.9
605000,4432500,0.9
605000,4433000,0.9
605000,4433500,0.9
605000,4434000,0.9
605000,4434500,0.9
605000,4435000,0
605000,4435500,0
605000,4436000,0
605000,4436500,0
605000,4437000,0
605000,4437500,0
605000,4438000,0
605000,4438500,0
605000,4439000,0
605000,4439500,0
605000,4440000,0
605000,4440500,0
605000,4441000,0
605000,4441500,0
605000,4442000,0
605000,4442500,0
605500,4413000,0
605500,4413500,0
605500,4414000,0
605500,4414500,0
605500,4415000,0
605500,4415500,0
605500,4416000,0
605500,4416500,0
605500,4417000,0
605500,4417500,0
605500,4418000,0
605500,4418500,0.9
605500,4419000,0.9
605500,4419500,0.9
605500,4420000,0.9
605500,4420500,0.9
605500,4421000,0.9
605500,4421500,0.9
605500,4422000,0.9
605500,4422500,0.9
605500,4423000,0.9
605500,4423500,0.9
605500,4424000,0.9
605500,4424500,0.9
605500,4425000,0.9
605500,4425500,0.9
605500,4426000,0.9
605500,4426500,0.9
605500,4427000,0.9
605500,4427500,0.9
605500,4428000,0.9
605500,4428500,0.9
605500,4429000,0.9
605500,4429500,0.9
605500,4430000,0.9
605500,4430500,0.9
605500,4431000,0.9
605500,4431500,0.9
605500,4432000,0.9
605500,4432500,0.9
605500,4433000,0.9
605500,4433500,0.9
605500,4434000,0.9
605500,4434500,0.9
605500,4435000,0.9
605500,4435500,0.9
605500,4436000,0
605500,4436500,0
605500,4437000,0
605500,4437500,0
605500,4438000,0
605500,4438500,0
605500,4439000,0
605500,4439500,0
605500,4440000,0
605500,4440500,0
605500,4441000,0
605500,4441500,0
605500,4442000,0
605500,4442500,0
605500,4443000,0
606000,4413000,0
606000,4413500,0
606000,4414000,0
606000,4414500,0
606000,4415000,0
606000,4415500,0
606000,4416000,0
606000,4416500,0
606000,4417000,0
606000,4417500,0.9
606000,4418000,0.9
606000,4418500,0.9
606000,4419000,0.9
606000,4419500,0.9
606000,4420000,0.9
606000,4420500,0.9
606000,4421000,0.9
606000,4421500,0.9
606000,4422000,0.9
606000,4422500,0.9
606000,4423000,0.9
606000,4423500,0.9
606000,4424000,0.8
606000,4424500,0.8
606000,4425000,0.8
606000,4425500,0.8
606000,4426000,0.8
606000,4426500,0.8
606000,4427000,0.8
606000,4427500,0.8
606000,4428000,0.8
606000,4428500,0.8
606000,4429000,0.8
606000,4429500,0.8
606000,4430000,0.9
606000,4430500,0.9
606000,4431000,0.9
606000,4431500,0.9
606000,4432000,0.9
606000,4432500,0.9
606000,4433000,0.9
606000,4433500,0.9
606000,4434000,0.9
606000,4434500,0.9
606000,4435000,0.9
606000,4435500,0.9
606000,4436000,0.9
606000,4436500,0
606000,4437000,0
606000,4437500,0
606000,4438000,0
606000,4438500,0
606000,4439000,0
606000,4439500,0
606000,4440000,0
606000,4440500,0
606000,4441000,0
606000,4441500,0
606000,4442000,0
606000,4442500,0
606000,4443000,0
606000,4443500,0
606500,4413000,0
606500,4413500,0
606500,4414000,0
606500,4414500,0
606500,4415000,0
606500,4415500,0
606500,4416000,0
606500,4416500,0
606500,4417000,0.9
606500,4417500,0.9
606500,4418000,0.9
606500,4418500,0.9
606500,4419000,0.9
606500,4419500,0.9
606500,4420000,0.9
606500,4420500,0.9
606500,4421000,0.9
606500,4421500,0.9
606500,4422000,0.9
606500,4422500,0.8
606500,4423000,0.8
606500,4423500,0.8
606500,4424000,0.8
606500,4424500,0.8
606500,4425000,0.8
606500,4425500,0.8
606500,4426000,0.8
606500,4426500,0.8
606500,4427000,0.8
606500,4427500,0.8
606500,4428000,0.8
606500,4428500,0.8
606500,4429000,0.8
606500,4429500,0.8
606500,4430000,0.8
606500,4430500,0.8
606500,4431000,0.8
606500,4431500,0.9
606500,4432000,0.9
606500,4432500,0.9
606500,4433000,0.9
606500,4433500,0.9
606500,4434000,0.9
606500,4434500,0.9
606500,4435000,0.9
606500,4435500,0.9
606500,4436000,0.9
606500,4436500,0.9
606500,4437000,0
